Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
fedex,United Parcel Service,Archer Daniels Midland,United Technologies,Samsung SDI,E.ON
royal bank of scotland,Westpac Banking Group,ANZ,Erste Group Bank,Danske Bank,Bank of Montreal
orange,Grupo Inbursa,Woolworths,Wanhua Chemical Group,Merck & Co.,DowDuPont
barclays,ING Group,US Bancorp,KB Financial Group,Standard Chartered,RBC
union pacific,Las Vegas Sands,Keppel,Surgutneftegas,Intesa Sanpaolo,Hertz Global Holdings
américa móvil,América Móvil,Anheuser-Busch InBev,Oil & Natural Gas,Møller-Maersk,Indian Oil
canadian imperial bank,ANZ,Bank of Montreal,Commerzbank,Royal Bank of Scotland,Westpac Banking Group
credit suisse group,Credit Suisse Group,UniCredit,Capital One Financial,Manulife,Mastercard
nextera energy,DTE Energy,Cummins,Suzuken,Brambles,EnBW-Energie Baden
deere & company,Northrop Grumman,Conagra Brands,Gilead Sciences,Repsol,Magna International
arcelormittal,Fiat Chrysler Automobiles,EDF,Rio Tinto,AIRBUS,Vale
mitsui,Mitsui Fudosan,Anta Sports Products,Schroders,JFE Holdings,Mitsubishi Chemical
abbott laboratories,Gilead Sciences,The Estée Lauder Companies,PepsiCo,Illinois Tool Works,3M
china railway group,Expeditors International,Postal Savings Bank Of China (PSBC),People's Insurance,China Life Insurance,HSBC Holdings
gilead sciences,Conagra Brands,Kinder Morgan,Abbott Laboratories,Allergan,Cummins
china railway construction,China Mobile,China Telecom,China State Construction Engineering,China Taiping Insurance,Metallurgical Corp of China
l'oréal,LyondellBasell Industries,Mondelēz International,MGM Resorts,Adidas,Eli Lilly
exelon,Axis Bank,Nike,Wanhua Chemical Group,LafargeHolcim,Sanofi
delta air lines,Moody's,Banco Bradesco,Iberdrola,Deutsche Lufthansa,ZTE
renault,Novartis,MGM Resorts,BMW Group,Walt Disney,Volvo Group
charter communications,Charter Communications,American Express,Humana,Progressive,Cigna
micron technology,TE Connectivity,Stryker,Intel,Texas Instruments,Western Digital
qatar national bank,First Abu Dhabi Bank,National Commercial Bank,Shinsei Bank,State Bank of India,Oversea-Chinese Banking
deutsche post,Deutsche Post,MetLife,Freddie Mac,Zurich Insurance Group,Talanx
hdfc bank,HDFC,Standard Bank Group,Commonwealth Bank,KB Financial Group,Raiffeisen Bank International
altria group,Electronic Arts,Lincoln National,Stanley Black & Decker,Mondelēz International,Rolls-Royce Holdings
valero energy,EXOR,Phillips 66,DowDuPont,Nestle,VF
philip morris international,E.ON,Enbridge,KT,Epiroc,Fresenius
dbs,Link REIT,Standard Chartered,Bank of Beijing,Mega Financial Holding,KB Financial Group
blackrock,BlackRock,Marsh & McLennan,Cleveland-cliffs,Charles Schwab,Huatai Securities
southern company,International Paper,Femsa,Raytheon,Occidental Petroleum,Starbucks
3m,Enbridge,South32,Cisco Systems,Fresenius,Hewlett Packard Enterprise
schlumberger,Cheniere Energy,Southwest Airlines,Mirae Asset Daewoo,TJX Cos,Mapfre
peugeot,Couche Tard,Saint-Gobain,BMW Group,Nestle,Valero Energy
