Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
raiffeisen bank international,Standard Bank Group,AGC,Charoen Pokphand Foods,Absa Group,Athene Holding
daqin railway,Swire Pacific,Showa Denko,Sunac China Holdings,Fortum,China Resources Land
idemitsu kosan,KIA Motors,Tokyo Electric Power,Hyundai Motor,Daikin Industries,JXTG Holdings
parker-hannifin,Allergan,Consolidated Edison,Cerner,CEZ Group,The Estée Lauder Companies
boe technology group,Toray Industries,New York Community Bancorp,Fujifilm Holdings,Continental Resources,Great Eagle Holdings
nokia,Eiffage,Towngas,Broadcom,CNH Industrial,Maroc Telecom
infosys,Infosys,Grupa PZU,Motorola Solutions,CPI Property Group.,Korea Investment Holdings
public bank,Expeditors International,London Stock Exchange,Intuitive Surgical,Galp Energia,Yango Group
kao,Packaging Corp of America,Bancolombia,Pinduoduo,Kone,WellCare Health Plans
mapfre,Mirae Asset Daewoo,Qatar Islamic Bank,Invitation Homes,Marriott International,Cheniere Energy
geely automobile holdings,INTL FCStone,China Jinmao,Formosa Chemicals,Whirlpool,Xiaomi
siam cement,Financiere de l'Odet,Blom Bank,Weyerhaeuser,Whirlpool,Xiaomi
nan ya plastics,Campbell Soup,Sensata Technologies Holding,Air Canada,Guangzhou Automobile Group,Alfa Laval
pkn orlen,Intesa Sanpaolo,Cheniere Energy,ZTE,TJX Cos,Qatar Islamic Bank
naturgy energy group,Shengjing Bank,Royal Ahold Delhaize N.V.,Union Pacific,Grupo Mexico,Sunny Optical Technology Group
kellogg,Sempra Energy,US Foods,Lincoln National,SBI Holdings,Stanley Black & Decker
wec energy group,Keurig Dr Pepper,Inventec,NetEase,Air Products & Chemicals,Ametek
cnpc capital,Mettler-Toledo International,Bawag Group,Tenet Healthcare,Hyundai Marine & Fire,China Merchants Shekou Industrial Zone Holdings
kyocera,Korean Air,World Fuel Services,Mitsubishi Heavy Industries,Toyota Industries,American Water Works
telia,Gemdale,Mitsui Chemicals,China Hongqiao Group,Tokyo Gas,Atlantia
eletrobrás,Origin Energy,First Horizon National,Yamaguchi Financial,MediaTek,FinecoBank
guangzhou automobile group,Regeneron Pharmaceuticals,Air Canada,Concordia Financial Group,Legrand,Sabesp
cimb group holdings,Expeditors International,Wheelock,Western Union,MOL Hungarian Oil,Interactive Brokers Group
prologis,Shopify,Arista Networks,Lixil Group,Qantas Airways,Qingdao Rural Commercial Bank
absa group,Charoen Pokphand Foods,Keyence,Raiffeisen Bank International,Erste Group Bank,National Bank of Canada
sodexo,Host Hotels & Resorts,ZTE,Iberdrola,Mirae Asset Daewoo,Invitation Homes
isbank,AGC,Raiffeisen Bank International,Charoen Pokphand Foods,Danske Bank,Absa Group
carrefour,Aeon,Itochu,Fanuc,Hyundai Motor,Sompo
republic services,DXC Technology,Penske Automotive,Central Bank of India,China Resources Cement Holdings,SAP
publicis groupe,Publicis Groupe,Far Eastern New Century,Adient,Vestas Wind Systems,Swisscom
porsche automobil holding,SS&C Technologies,Veeva Systems,Medical Properties Trust,Hyakujushi Bank,IDBI Bank
d.r. horton,Inner Mongolia Yili,FMC,FirstEnergy,Otsuka Holding,AutoZone
kasikornbank,Flex,Bank of Nanjing,Alaska Air Group,IAC/InterActiveCorp,Arch Capital Group
capgemini,Capgemini,Isuzu Motors,Thales,Diageo,Verbund
ross stores,Pioneer Natural Resources,Extra Space Storage,Infineon Technologies,Valeo,Mapfre
deutsche boerse,Deutsche Boerse,BBVA Banco Continental,Banco Comercial Portugues,BorgWarner,TD Ameritrade Holding
husky energy,Cathay Pacific Airways,Unum,Altice USA,Ulta Beauty,Smurfit Kappa Group
cgn power,Zions Bancorp,Zijin Mining Group,Kerry Properties,S.F. Holding,Kaisa Group Holdings
west japan railway,East Japan Railway,Waters,ISS,China Shipbuilding Industry,Pinduoduo
legend holding,CK Hutchison,Anhui Conch Cement,Fubon Financial,Orix,Mizuho Financial
nutrien,Imperial Brands,Vienna Insurance Group,AstraZeneca,Julius Baer Group,Evonik
toray industries,Fortescue Metals Group,Eurobank Ergasias,Yonghui Superstores,BOE Technology Group,New York Community Bancorp
chubu electric power,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Cosmo Energy Holdings,George Weston,Coca-Cola HBC,KION Group
china tower corp.,Shiga Bank,Covivio,Alliant Energy,China Telecom,China Longyuan Power
analog devices,Persimmon,China Energy Engineering,Rongsheng Petrochemical,McCormick,CBRE Group
grupa pzu,Motorola Solutions,Alexandria Real Estate Equities,Infosys,Air France-KLM,Yum! Brands
fidelity national information,Leonardo,Murata Manufacturing,Itaúsa,Daiwa House Industry,Rakuten
sekisui house,Everest Re Group,Tenneco,Attijariwafa Bank,JSW Steel,Owens Corning
akzo nobel,Chunghwa Telecom,Citizens Financial Group,KeyCorp,Steel Dynamics,Hokuhoku Financial Group
huntington bank,NARI Technology Development,Beijing Enterprises,Cielo,Sun Hung Kai Properties,Bawag Group
wh group,Grupo Aval,KPN,Realty Income,Samba Financial Group,LG Uplus
molson coors brewing,Citic Securities,Grupo Elektra,ENN Energy Holdings,RMB Holdings,Alexandria Real Estate Equities
haitong securities,BYD,Konica Minolta Business Solutions,Ryanair Holdings,Kuehne & Nagel International,Coloplast
falabella,Muyuan Foodstuff,Kingfisher,Advanced Micro Devices,DSM,Tosoh
fox,Midea Group,Suning.com,AntarChile,LG Chem,China Shenhua Energy
link reit,Mega Financial Holding,DBS,Altice Europe,Svenska Handelsbanken,Fluor
lenovo group,Asahi Group Holdings,Metro,Bank of Jinzhou,WW Grainger,China Development Bank Financial Leasing
atlas copco,Restaurant Brands International,Mahindra & Mahindra,Bharat Petroleum,Tenaga Nasional,Murphy USA
suncorp group,Texas Instruments,NVIDIA,ASML Holding,TE Connectivity,Paychex
all nippon airways,Inventec,Guosen Securities,US Foods,NetEase,Electronic Arts
t&d holdings,American Electric,Dexia,Hess,PPG,Danaher
lam research,Lincoln National,Industries Qatar,Pernod Ricard,Shenzhou International Group Holdings,Xcel Energy
pioneer natural resources,Extra Space Storage,Infineon Technologies,Ross Stores,BYD,Partners Group Holding
vivendi,Masco,Transneft,Unipol Gruppo,Telenor,Telkom Indonesia
vf,DowDuPont,EDF,Rosneft,Fiat Chrysler Automobiles,Orange
upm-kymmene,BayWa,Albemarle,QBE Insurance Group,Grupo Bolivar,Dixons Carphone
uniper,China Resources Land,China Vanke,Signature Bank,Daqin Railway,Sunac China Holdings
national bank of kuwait,National Bank of Kuwait,CPI Property Group.,Korea Investment Holdings,Samsung Fire & Marine,Ameren
samba financial group,Grupo Aval,WH Group,Host Hotels & Resorts,Sodexo,Realty Income
china southern airlines,Canadian Natural Resources,Ecopetrol,Richemont,Coloplast,Torchmark
nomura,AmerisourceBergen,Apple,Dell Technologies,Comcast,IBM
reinsurance group of america,Naspers,Zalando,Tata Motors,LEG Immobilien AG,Krung Thai Bank
eiffage,Hewlett Packard Enterprise,Maroc Telecom,Nokia,Suzuken,Broadcom
cardinal health,Komatsu,Asahi Kasei,CGI Group,Taiwan Cooperative Financial,Anta Sports Products
crown castle international,Zhejiang Longsheng Group,Citrix Systems,Nintendo,Accor,AmBank Group
ericsson,Ericsson,Hyundai Heavy Industries,Rockwell Automation,Assa Abloy,Bharti Airtel
sumitomo chemical,Sumitomo Chemical,Johnson Controls International,RTL Group,Jabil Circuit,OTP Bank
tokyo electron,DTE Energy,Hindalco Industries,EnBW-Energie Baden,Illinois Tool Works,China Communications Services
willis towers watson,Chow Tai Fook Jewellery,ASML Holding,Linde,Ferguson,Texas Instruments
cbre group,VMware,Analog Devices,Rongsheng Petrochemical,Union Bank of India,Persimmon
essity ab,Chipotle Mexican Grill,China Galaxy Securities,Henderson Land,Ajinomoto,CK Asset Holdings
sandvik,CSN,Liberty Expedia Holdings,Hanesbrands,Athene Holding,Chimera Investment
csl,CSL,Toyota Boshoku,BorgWarner,Banco Comercial Portugues,SK Networks
credicorp,Bank Of Shanghai,Chang Hwa Bank,China Cinda Asset Management,Hana Financial Group,Atmos Energy
riyad bank,Entergy,Tingyi Holding,CPFL Energia,Asr Nederland,ATOS
london stock exchange,Alexandria Real Estate Equities,Public Bank,FirstRand,Lear,Expeditors International
guotai junan securities,Guotai Junan Securities,RWE Group,Power Assets Holdings,Saudi Electricity,BCE
dsm,Longi Green Energy Technology,Tosoh,Muyuan Foodstuff,Kingfisher,Barrick Gold
bancolombia,Kone,WellCare Health Plans,Kao,Pinduoduo,Mitsubishi Chemical
rolls-royce holdings,Celgene,JG Summit Holdings,Ametek,Altria Group,Hanwha
hong kong exchanges,Kubota,Oshkosh,Paychex,Linde,Yonghui Superstores
otsuka holding,Merck,McDonald's,Inner Mongolia Yili,D.R. Horton,Shenzhou International Group Holdings
stanley black & decker,Novo Nordisk,Electronic Arts,Kellogg,JG Summit Holdings,Hanwha
byd,Ryanair Holdings,Haitong Securities,Extra Space Storage,Pioneer Natural Resources,Norfolk Southern
westrock,Expeditors International,WestRock,Ctrip.com International,Shanghai Pharmaceuticals,Haseko
carmax,Telstra,Public Storage,National Grid,Omnicom Group,eBay
aptiv,Coty,Asr Nederland,Jacobs Engineering,Wolters Kluwer,Wynn Resorts
axis bank,Nike,Exelon,Sanofi,Wanhua Chemical Group,LafargeHolcim
centurylink,Total System Services,Bank Leumi,Saudi Arabian Mining,Telecom Italia,China Steel
fortive,Xiaomi,Baidu,Tokio Marine Holdings,Thomson Reuters,Siam Cement
george weston,Zoetis,Coca-Cola HBC,Chubu Electric Power,Cosmo Energy Holdings,Bank Of Gansu
koç holding,Olam International,Microchip Technology,Ternium,Vistra Energy,Bankinter
huaneng power international,CNOOC,China Longyuan Power,Metallurgical Corp of China,China Yangtze Power,Covivio
isuzu motors,Isuzu Motors,Diageo,Capgemini,Thales,Bangkok Bank
telkom indonesia,Transneft,Unipol Gruppo,Vivendi,Telenor,Masco
china energy engineering,Analog Devices,McCormick,EasyJet,Rongsheng Petrochemical,NVIDIA
unipol gruppo,BAE Systems,Transneft,Telkom Indonesia,Vivendi,Masco
keyence,Absa Group,Svenska Handelsbanken,National Bank of Canada,Link REIT,Charoen Pokphand Foods
neste,Wuliangye Yibin,Fiserv,China Grand Automotive Services,Catcher Technology,Goodyear
shanghai international port,Shanghai International Port,Lennar,OTP Bank,Jabil Circuit,Swiss Re
nedbank,Kaisa Group Holdings,Formosa Chemicals,Concho Resources,S.F. Holding,Abu Dhabi Commercial Bank
bangkok bank,Bangkok Bank,WPP,Isuzu Motors,Diageo,RWE Group
china reinsurance group,3i Group,Tech Mahindra,Hainan Airlines,UGI,NetApp
formosa plastics,Orient Securities,Linde,NiSource,DGB Financial Group,Willis Towers Watson
telecom italia,Uniqa,WW Grainger,Bank of Jinzhou,Metro,Wm Morrison Supermarkets
concho resources,Quilter,Nedbank,Formosa Chemicals,RSA Insurance Group,Copart
covestro,Covestro,Swisscom,Cognizant,First Data,Publicis Groupe
guangzhou r&f,London Stock Exchange,Alexandria Real Estate Equities,People's United Financial,Principal Financial Group,FirstRand
lg,LG,Sun Life Financial,Bank of Nagoya,Li & Fung,BT Group
liberty global,Dollar Tree,Recruit Holdings,Cenovus Energy,Schaeffler,Samsung C&T
raymond james financial,Longfor Group Holdings,Scor,Fosun International,Cathay Financial,BPER Banca
fairfax financial,KDDI,LG Electronics,Formosa Petrochemical,Fanuc,Aeon
rosseti,Schindler Holding,TUI,KT&G,Northern Trust,Fortis (Canada)
china eastern airlines,Yamaguchi Financial,VICI Properties,Wintrust Financial,Amadeus IT Group,Community Health Systems
tata motors,Zalando,Naspers,Banco BPM,Reinsurance Group of America,Shanghai Electric Group
fortis (canada),KT&G,Xylem,Schindler Holding,ROSSETI,Edison International
woodside petroleum,Fidelity National Financial,Bâloise Group,Meituan Dianping,Lotte Shopping,NTPC
china steel,Halkbank,BBMG,Canara Bank,RiseSun Real Estate Development,Alpha Bank
first republic bank,SYNNEX,Danske Bank,Fifth Third Bank,YPF,CJ Corporation
atos,Tingyi Holding,Mitsubishi Motors,Riyad Bank,Sherwin-Williams,American Electric
japan airlines,Carlsberg,Maroc Telecom,Nokia,SK Telecom,Suzuken
edison international,Svenska Handelsbanken,Schindler Holding,Scentre Group,Fluor,KT&G
galp energia,Galp Energia,Ctrip.com International,WestRock,Shanghai Pharmaceuticals,Public Bank
infineon technologies,Pioneer Natural Resources,Extra Space Storage,Devon Energy,ASE Technology Holding,Anadarko Petroleum
athene holding,Sandvik,Adecco,Nomura Research Institute,Chimera Investment,Metropolitan Bank & Trust
old mutual,Aisin Seiki,Midea Group,Universal Entertainment,BDO Unibank,Copart
autozone,Raytheon,Inner Mongolia Yili,McDonald's,Southern Company,Femsa
abu dhabi commercial bank,Kaisa Group Holdings,S.F. Holding,Zenith Bank,Nedbank,Formosa Chemicals
yanzhou coal mining,Shenwan Hongyuan Group,United Rentals,President Chain Store,Activision Blizzard,SBI Holdings
macy's,Citrix Systems,Zhejiang Longsheng Group,Global Payments,Nintendo,Industrivarden
netease,Inventec,United Rentals,WEC Energy Group,Keurig Dr Pepper,Shenwan Hongyuan Group
hermès international,Kubota,Hong Kong Exchanges,Canadian Tire,Oshkosh,Marvell Technology Group
fanuc,Sompo,Aeon,Korea Electric Power,Fairfax Financial,TDK
regeneron pharmaceuticals,Guangzhou Automobile Group,Legrand,Concordia Financial Group,Johnson Matthey,Avnet
novolipetsk steel,Moscow Exchange,Goodman Group,Alexion Pharmaceuticals,KWG Group Holdings,Inter Rao
dentsu,Ricoh,Barry Callebaut,GS Engineering,Tenaris,Tapestry
carlsberg,Maroc Telecom,Japan Airlines,Nokia,SAP,Eiffage
textron,CapitaLand,PBF Energy,Alliant Energy,Luxshare Precision Industry,Alcoa
bank of jinzhou,Metro,China Development Bank Financial Leasing,WW Grainger,Lenovo Group,Sumitomo Mitsui Trust
sse,Gecina,Ameren,Cintas,MTR,Korea Investment Holdings
huatai securities,Huatai Securities,Delek Group,Cleveland-cliffs,Charles Schwab,RELX
lotte chemical,Red Eléctrica,Orient,Weyerhaeuser,Zions Bancorp,INTL FCStone
hikvision,Fujifilm Holdings,CDW,New York Community Bancorp,BOE Technology Group,NVIDIA
qbe insurance group,Chimera Investment,Pirelli,Luzerner Kantonalbank,Adecco,Yes Bank
shaanxi coal industry,Rogers Communications,SDIC Power Holdings,Bankia,IndusInd Bank,Credit Acceptance
shanghai electric group,Vornado Realty,China Agri-Industries,Israel Discount Bank,GPT Group,Frasers Property Limited
saudi british bank,LabCorp,Sun Hung Kai Properties,Beijing Enterprises,Allahabad Bank,Cielo
o'reilly automotive,Datang International Power,China Fortune Land Development,SinoPac Financial,Murphy USA,Commercial Bank of Qatar
itc,Bristol-Myers Squibb,Heineken,SGS,Partners Group Holding,Torchmark
chunghwa telecom,Akzo Nobel,Citizens Financial Group,Hokuhoku Financial Group,KeyCorp,Steel Dynamics
shenzhen overseas,Liberty Broadband,Hesteel,Quilter,TDK,Wipro
enbw-energie baden,Thermo Fisher Scientific,Cummins,Ecolab,Tokyo Electron,DTE Energy
comerica,Bank Mandiri,Bank Rakyat Indonesia (BRI),YPF,IBERIABANK,UPM-Kymmene
inner mongolia yili,Merck,EOG Resources,Occidental Petroleum,McDonald's,AutoZone
genuine parts,Reliance Steel,Hindalco Industries,Rogers Communications,China Communications Services,CEZ Group
pko bank polski,Reckitt Benckiser Group,Arrow Electronics,Eisai,BOK Financial,L'Oréal
pg&e,Maybank,United Overseas Bank,Woori Financial Group,China Grand Automotive Services,ICICI Bank
discovery,Bank Mandiri,HCL Technologies,Bank Rakyat Indonesia (BRI),Hanesbrands,Charoen Pokphand Foods
ferguson,DGB Financial Group,Willis Towers Watson,Mosaic,Electric Power Development,AGNC Investment
huishang bank,National Bank of Greece,Lindt & Sprungli,Medical Properties Trust,Foshan Haitian Flavouring and Food,Hyakujushi Bank
williams,Yamaha Motor,Anta Sports Products,Spotify Technology,Seiko Epson,Mitsui Fudosan
deutsche wohnen,Pgnig Group,Oji Holdings,Gudang Garam,Alliance Data Systems,Toll Brothers
s&p global,Berry Global Group,IAC/InterActiveCorp,VeriSign,Caltex Australia,Alaska Air Group
wanhua chemical group,Exelon,Nike,Axis Bank,Unilever,Sanofi
fortum,Anhui Conch Cement,Inchcape,Showa Denko,Orix,Sunac China Holdings
mega financial holding,Altice Europe,Link REIT,Fluor,BayWa,Scentre Group
jbs,Dassault Systemes,Mazda Motor,Power Grid of India,Keiyo Bank,ALFA
china coal energy,Xiamen C&D,Geberit,GAIL India,Keppel,NN Group
emaar properties,Taiwan Cooperative Financial,Tahoe Group,Bank of Jiujiang,Komatsu,CGI Group
evraz group,Molina Healthcare,Logan Property Holdings,Sumitomo Metal Mining,Omnicom Group,Sojitz
mitsubishi motors,ATOS,TransCanada,Sherwin-Williams,Tingyi Holding,American Electric
wuliangye yibin,Neste,Ahli United Bank,Al Rajhi Bank,Petronas Chemicals,Next
intuit,NEC,FleetCor Technologies,Aena,Sino-Ocean Group Holding,Intact Financial
labcorp,Saudi British Bank,Intact Financial,Sun Hung Kai Properties,Beijing Enterprises,NEC
galaxy entertainment,Empire,Norilsk Nickel,Grupo Mexico,Tokyo Gas,Sunny Optical Technology Group
gemdale,Telia,Synopsys,RHB Bank,China Hongqiao Group,Mitsui Chemicals
e-trade financial,Novatek,AAC Technologies Holdings,Essex Property Trust,GD Power Development,Eastman Chemical
kone,WellCare Health Plans,Bancolombia,Mitsubishi Chemical,Pinduoduo,Kao
ryanair holdings,Anadarko Petroleum,Coloplast,Canadian Natural Resources,BYD,Ecopetrol
great wall motor,Koito Manufacturing,Advanz Pharma,Xinhu Zhongbao,Db Insurance,Alexandria Real Estate Equities
mgm resorts,Novartis,LyondellBasell Industries,L'Oréal,Saint-Gobain,Renault
tokyo gas,Ulta Beauty,Galaxy Entertainment,Smurfit Kappa Group,Telia,Empire
ypf,Bank Rakyat Indonesia (BRI),Bank Mandiri,Comerica,Huaxia Bank,Shinhan Financial Group
daiwa securities,Kansai Electric Power,CGI Group,San ju San Financial Group,Bridgestone,Kirin Holdings
thyssenkrupp group,Banca Mediolanum,Hydro One,Olam International,Dangote Cement,Jointown Pharmaceutical Group
vestas wind systems,Far Eastern New Century,Sasol,Olam International,Publicis Groupe,Adient
sabanci holding,Garmin,Danone,First Citizens Bank,EOG Resources,CBS
mazda motor,Dassault Systemes,JBS,Keiyo Bank,Live Nation Entertainment,Power Grid of India
dp world,Sun Art Retail Group,Raymond James Financial,Allahabad Bank,United Utilities,Saudi British Bank
bharti airtel,Bharti Airtel,Hyundai Heavy Industries,Assa Abloy,Rockwell Automation,Ericsson
valeo,Guangzhou Rural Commercial Bank,Focus Media Information Technology,Royal Caribbean Cruises,Ross Stores,Pioneer Natural Resources
ameren,Gecina,Korea Investment Holdings,Storebrand,CPI Property Group.,SSE
secom,Voestalpine,Starwood Property Trust,VICI Properties,MediaTek,Community Health Systems
brighthouse financial,Hana Financial Group,China Tower Corp.,China Galaxy Securities,CK Asset Holdings,China Cinda Asset Management
wipro,Expedia Group,Rakuten,China Gezhouba,Shenzhen Overseas,Finatis
itaúsa,Rakuten,Gjensidige Forsikring,Fidelity National Information,Murata Manufacturing,Leonardo
china huarong asset management,Wens Foodstuff Group,CSX,Coal India,Frasers Property Limited,China Agri-Industries
amphenol,Piraeus Bank,Vodafone Idea,Kerry Properties,CGN Power,Zijin Mining Group
daiichi sankyo,Daiichi Sankyo,Associated Banc-Corp,Rajesh Exports,China Molybdenum,Dali Foods Group
jsw steel,Owens Corning,Attijariwafa Bank,Netflix,Booking Holdings,Everest Re Group
schindler holding,ROSSETI,Fluor,KT&G,Svenska Handelsbanken,Fortis (Canada)
power grid of india,ALFA,Keiyo Bank,JBS,Melrose Industries Plc,Dassault Systemes
scentre group,Svenska Handelsbanken,Experian,Northern Trust,Bank Central Asia,Edison International
seagate technology,Red Hat,Naver,Isetan Mitsukoshi Holdings,Guangdong Investment,CSN
otp bank,OTP Bank,Jabil Circuit,L3 Technologies,China Life Insurance (Taiwan),J.B. Hunt Transport Services
aena,NEC,Intuit,FleetCor Technologies,Intact Financial,Atmos Energy
akbank,Saputo,Dixons Carphone,Bank Central Asia,Albemarle,BayWa
svb financial group,Tiffany & Co.,Celanese,Orsted,Activision Blizzard,AAC Technologies Holdings
unum,Husky Energy,Cathay Pacific Airways,Altice USA,Synopsys,Smurfit Kappa Group
towngas,Broadcom,National Grid,Nokia,CNH Industrial,Samsung SDI
kuwait finance house,Pegatron,Corning,Hindalco Industries,Adobe,DTE Energy
future land development holdings,Financial Street Holdings,Shiseido,eBay,Maanshan Iron & Steel,Ball
hindalco industries,Reliance Steel,Kuwait Finance House,CEZ Group,Genuine Parts,China Communications Services
china resources pharmaceutical group,Olam International,Assurant,Tata Consultancy Services,CSX,Grupo De Inversiones Suramericana
eastman chemical,Essex Property Trust,FinecoBank,Eletrobrás,GD Power Development,Dexus
hcl technologies,Adecco,Luzerner Kantonalbank,Discovery,Nomura Research Institute,E.Sun Financial
conagra brands,Gilead Sciences,Kinder Morgan,Northrop Grumman,Deere & Company,Air Liquide
cp all,Jefferies Financial,Sterling Bancorp,Coloplast,Ryanair Holdings,Ecopetrol
stora enso,Nippon Express,Frontier Communications,Konica Minolta Business Solutions,OMV Group,NN Group
bank leumi,Total System Services,CenturyLink,Country Garden Holdings,Mitsubishi UFJ Financial,Bank of Nanjing
lear,Principal Financial Group,FirstRand,London Stock Exchange,PNC Financial Services,Expeditors International
kohl's,TCL,Alinma Bank,Saudi Telecom,SK Telecom,Japan Airlines
mol hungarian oil,MOL Hungarian Oil,Western Union,Haseko,Nielsen,Intuitive Surgical
xiamen c&d,Geberit,China Coal Energy,Nordea Bank,Insurance Australia Group,GAIL India
s.f. holding,Zions Bancorp,Weyerhaeuser,Nedbank,Kaisa Group Holdings,Whirlpool
zijin mining group,Kerry Properties,CGN Power,Kaisa Group Holdings,Sears Holdings,FIBI Holdings
capitaland,Textron,Alliant Energy,PBF Energy,Luxshare Precision Industry,Alcoa
steinhoff international,Ashtead Group,Grupo Bimbo,Match Group,Credit Acceptance,Nitto Denko
inpex,Lotte,United Aircraft,Vingroup,Shinsei Bank,Emirates NBD
china national nuclear power,Zhongsheng Group Holdings,Lululemon Athletica,Sekisui House,Attijariwafa Bank,Everest Re Group
zoetis,Coca-Cola HBC,George Weston,Bombardier,X5 Retail Group,Bank Of Gansu
halkbank,China Steel,RiseSun Real Estate Development,Canara Bank,AECOM Technology,Alpha Bank
pembina pipeline,Singapore Airlines,Wärtsilä,Nitori Holdings,Shizuoka Bank,SinoPac Financial
ase technology holding,Infineon Technologies,Devon Energy,LG Uplus,Lindt & Sprungli,Aramark
tdk,Dongfeng Motor Group,Bandai Namco Holdings,Shenzhen Overseas,Finatis,Leonardo
taisei,E.Sun Financial,Bank of Xi'an,CJ Corporation,Yes Bank,IBERIABANK
shenwan hongyuan group,Yanzhou Coal Mining,United Rentals,Sempra Energy,SBI Holdings,NetEase
weyerhaeuser,DSV,Gjensidige Forsikring,S.F. Holding,Lotte Chemical,Finatis
kajima,Cemex,Voya Financial,CIFI Holdings Group,Ventas,Pgnig Group
banque saudi fransi,China Coal Energy,Randstad Holding,Hang Lung Group,Bohai Leasing,Xiamen C&D
cheniere energy,Southwest Airlines,Schlumberger,PKN Orlen,Qatar Islamic Bank,Intesa Sanpaolo
stmicroelectronics,Unisplendour,GPT Group,Dangote Cement,Banca Mediolanum,China Agri-Industries
l3 technologies,L3 Technologies,J.B. Hunt Transport Services,Naspers,Simon Property Group,OTP Bank
vakifbank,SBI Holdings,Sempra Energy,Michelin Group,Encana,JM Smucker
randstad holding,Hang Lung Group,EMS-Chemie Holding,Bohai Leasing,Banque Saudi Fransi,Vietin Bank
south32,Schneider Electric,Hewlett Packard Enterprise,3M,Emerson Electric,Fresenius
united rentals,NetEase,Shenwan Hongyuan Group,Yanzhou Coal Mining,Terumo,Lonza Group
braskem,Central Japan Railway,Japan Tobacco,Beijing Capital Development,Mitsubishi Estate,AGL Energy
mediobanca,Sunny Optical Technology Group,Abu Dhabi Islamic Bank,Las Vegas Sands,Xilinx,Grupo Mexico
marathon oil,SBA Communications,Cincinnati Financial,Beijing Shougang,American Equity Investment,Yara International
obayashi,Aozora Bank,Technipfmc,Royal Caribbean Cruises,Realty Income,SKF Group
risesun real estate development,Canara Bank,AECOM Technology,Alpha Bank,Halkbank,Shanxi Taigang Stainless
hormel foods,Inventec,WEC Energy Group,Rolls-Royce Holdings,All Nippon Airways,NetEase
alliance data systems,Ventas,Zhongyuan Bank,Pgnig Group,Indorama Ventures,Voya Financial
franklin resources,China Shenhua Energy,Sabesp,Weichai Power,Suning.com,Guangzhou Automobile Group
china hongqiao group,Mitsui Chemicals,Smurfit Kappa Group,Telia,Atlantia,Sofina
hershey,Tapestry,WR Berkley,Tenaris,Petronas Chemicals,United Aircraft
cms energy,China Taiping Insurance,Alliant Energy,China International Marine,China Longyuan Power,Alcoa
aluminum corp of china,Aluminum Corp of China,SK Networks,Hoya,BBVA Banco Continental,HAL Trust
dubai islamic bank,Keurig Dr Pepper,Brenntag,Air Products & Chemicals,Guosen Securities,US Foods
baic motor,NRG Energy,Maxim Integrated Products,Tiffany & Co.,Community Health Systems,Starwood Property Trust
julius baer group,Vienna Insurance Group,Nutrien,International Paper,Dexus,Novo Nordisk
roper technologies,Roper Technologies,Saudi Electricity,Jiangsu Zhongnan Construction Group,Guotai Junan Securities,Assurant
swatch group,Manpower,Bunzl,China Gezhouba,Daikin Industries,B3
snam,Caesars Entertainment,Indiabulls Housing Finance,iQIYI,Knorr-Bremse,Jinke Property Group
norsk hydro,Canadian National Railway,CaixaBank,Sonova Holding,Sany Heavy Industry,Nordea Bank
antarchile,Fox,FIBI Holdings,LG Chem,Midea Group,Universal Entertainment
suntory beverage & food,Muyuan Foodstuff,Falabella,Great Wall Motor,ENN Energy Holdings,Advanz Pharma
fortescue metals group,SK Hynix,Toray Industries,New York Community Bancorp,Yonghui Superstores,ASML Holding
mtn group,MTN Group,Compal Electronics,UCB,Samsung C&T,CRH
tcl,Kohl's,SK Telecom,Larsen & Toubro,Towngas,Alinma Bank
china merchants securities,Salesforce.com,Ecolab,China Resources Cement Holdings,Central Bank of India,Cemex
quanta computer,Yes Bank,Haidilao International Holding,Luzerner Kantonalbank,Erste Group Bank,National Bank of Canada
kt,Allergan,Enbridge,Woodside Petroleum,Philip Morris International,Magna International
shanghai pharmaceuticals,Alexandria Real Estate Equities,Shanghai Pharmaceuticals,WestRock,Ctrip.com International,Macquarie Group
scor,New Hope Liuhe,Raymond James Financial,Cathay Financial,Aena,BPER Banca
bankia,Leidos,Shaanxi Coal Industry,Becton Dickinson,Illinois Tool Works,Rogers Communications
dollar tree,Liberty Global,Cenovus Energy,Schaeffler,CoStar Group,Grupo De Inversiones Suramericana
origin energy,Eletrobrás,Amadeus IT Group,First Horizon National,Yamaguchi Financial,China Eastern Airlines
shengjing bank,Naturgy Energy Group,Union Pacific,Royal Ahold Delhaize N.V.,Las Vegas Sands,BBVA-Banco Bilbao Vizcaya
ball,Givaudan,Almarai,Financial Street Holdings,Hopson Development Holdings,PacWest Bancorp
china gezhouba,Bunzl,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Manpower,Takeda Pharmaceutical,Wipro
yum! brands,Alexandria Real Estate Equities,Motorola Solutions,Unicharm,Kerry Group,Grupa PZU
air france-klm,Air France-KLM,Visa,North Pacific Bank,Grupa PZU,Magnit
amadeus it group,Jiangsu Hengrui Medicine,Origin Energy,China Eastern Airlines,Activision Blizzard,Brenntag
agc,Charoen Pokphand Foods,Nomura Research Institute,Raiffeisen Bank International,Metropolitan Bank & Trust,Adecco
cdw,NVIDIA,Western Digital,Applied Materials,Persimmon,Newmont Mining
